Time 2023-11-27 13:11:50.937695, yaw 11, pitch -6, roll 10
Time 2023-11-27 13:11:51.007897, yaw 12, pitch -7, roll 9
Time 2023-11-27 13:11:51.070895, yaw 12, pitch -8, roll 8
Time 2023-11-27 13:11:51.136151, yaw 10, pitch -8, roll 9
Time 2023-11-27 13:11:51.210534, yaw 11, pitch -8, roll 8
Time 2023-11-27 13:11:51.272600, yaw 11, pitch -8, roll 9
Time 2023-11-27 13:11:51.342844, yaw 10, pitch -7, roll 9
Time 2023-11-27 13:11:51.403956, yaw 10, pitch -8, roll 9
Time 2023-11-27 13:11:51.474275, yaw 11, pitch -7, roll 10
Time 2023-11-27 13:11:51.538952, yaw 11, pitch -8, roll 10
Time 2023-11-27 13:11:51.610231, yaw 12, pitch -8, roll 10
Time 2023-11-27 13:11:51.664828, yaw 13, pitch -9, roll 10
Time 2023-11-27 13:11:51.741936, yaw 12, pitch -7, roll 11
Time 2023-11-27 13:11:51.806917, yaw 11, pitch -7, roll 11
Time 2023-11-27 13:11:51.865877, yaw 12, pitch -7, roll 10
Time 2023-11-27 13:11:51.940335, yaw 14, pitch -6, roll 9
Time 2023-11-27 13:11:52.008017, yaw 15, pitch -5, roll 9
Time 2023-11-27 13:11:52.077016, yaw 15, pitch -3, roll 9
Time 2023-11-27 13:11:52.136443, yaw 18, pitch -1, roll 9
Time 2023-11-27 13:11:52.207582, yaw 19, pitch 0, roll 9
Time 2023-11-27 13:11:52.274562, yaw 19, pitch 1, roll 8
Time 2023-11-27 13:11:52.337406, yaw 18, pitch 0, roll 8
Time 2023-11-27 13:11:52.408580, yaw 19, pitch 1, roll 7
Time 2023-11-27 13:11:52.474395, yaw 19, pitch 2, roll 7
Time 2023-11-27 13:11:52.540557, yaw 18, pitch 0, roll 6
Time 2023-11-27 13:11:52.608097, yaw 15, pitch 0, roll 6
Time 2023-11-27 13:11:52.671979, yaw 16, pitch 2, roll 6
Time 2023-11-27 13:11:52.737445, yaw 16, pitch 2, roll 6
Time 2023-11-27 13:11:52.808162, yaw 16, pitch 2, roll 6
Time 2023-11-27 13:11:52.870536, yaw 13, pitch 0, roll 6
Time 2023-11-27 13:11:52.937824, yaw 11, pitch -2, roll 5
Time 2023-11-27 13:11:53.009381, yaw 11, pitch -4, roll 4
Time 2023-11-27 13:11:53.065555, yaw 11, pitch -6, roll 5
Time 2023-11-27 13:11:53.139778, yaw 10, pitch -8, roll 4
Time 2023-11-27 13:11:53.208022, yaw 10, pitch -9, roll 3
Time 2023-11-27 13:11:53.273817, yaw 10, pitch -9, roll 3
Time 2023-11-27 13:11:53.340873, yaw 8, pitch -10, roll 3
Time 2023-11-27 13:11:53.403817, yaw 8, pitch -10, roll 4
Time 2023-11-27 13:11:53.469766, yaw 9, pitch -11, roll 3
Time 2023-11-27 13:11:53.538850, yaw 8, pitch -11, roll 3
Time 2023-11-27 13:11:53.604222, yaw 11, pitch -11, roll 3
Time 2023-11-27 13:11:53.673779, yaw 9, pitch -11, roll 4
Time 2023-11-27 13:11:53.744117, yaw 9, pitch -12, roll 3
Time 2023-11-27 13:11:53.807490, yaw 8, pitch -11, roll 3
Time 2023-11-27 13:11:53.874146, yaw 8, pitch -10, roll 4
Time 2023-11-27 13:11:53.935054, yaw 9, pitch -12, roll 3
Time 2023-11-27 13:11:54.007945, yaw 9, pitch -13, roll 4
Time 2023-11-27 13:11:54.071460, yaw 10, pitch -16, roll 4
Time 2023-11-27 13:11:54.136613, yaw 12, pitch -20, roll 4
Time 2023-11-27 13:11:54.206270, yaw 11, pitch -22, roll 5
Time 2023-11-27 13:11:54.274123, yaw 12, pitch -23, roll 4
Time 2023-11-27 13:11:54.476629, yaw 14, pitch -24, roll 5
Time 2023-11-27 13:11:54.539847, yaw 14, pitch -27, roll 4
Time 2023-11-27 13:11:54.612780, yaw 16, pitch -24, roll 5
Time 2023-11-27 13:11:54.669312, yaw 16, pitch -22, roll 6
Time 2023-11-27 13:11:54.728097, yaw 12, pitch -34, roll 5
Time 2023-11-27 13:11:54.806137, yaw 11, pitch -31, roll 5
Time 2023-11-27 13:11:54.870422, yaw 14, pitch -24, roll 3
Time 2023-11-27 13:11:54.944234, yaw 14, pitch -20, roll 3
Time 2023-11-27 13:11:54.998670, yaw 13, pitch -14, roll 4
Time 2023-11-27 13:11:55.070546, yaw 12, pitch -11, roll 4
Time 2023-11-27 13:11:55.143253, yaw 12, pitch -9, roll 4
Time 2023-11-27 13:11:55.203102, yaw 13, pitch -7, roll 4
Time 2023-11-27 13:11:55.274298, yaw 11, pitch -7, roll 4
Time 2023-11-27 13:11:55.336896, yaw 1, pitch -2, roll -174
Time 2023-11-27 13:11:55.406726, yaw 0, pitch -1, roll -174
Time 2023-11-27 13:11:55.475860, yaw 1, pitch -1, roll -174
Time 2023-11-27 13:11:55.537567, yaw 0, pitch 0, roll -175
Time 2023-11-27 13:11:55.607257, yaw 0, pitch 0, roll -175
Time 2023-11-27 13:11:55.669745, yaw -1, pitch 0, roll -176
Time 2023-11-27 13:11:55.740161, yaw -2, pitch 0, roll -176
Time 2023-11-27 13:11:55.804106, yaw -2, pitch 0, roll -176
Time 2023-11-27 13:11:55.873158, yaw -2, pitch -1, roll -176
Time 2023-11-27 13:11:55.940736, yaw -4, pitch -1, roll -175
Time 2023-11-27 13:11:56.002968, yaw -4, pitch -3, roll -174
Time 2023-11-27 13:11:56.075746, yaw 11, pitch -6, roll 6
Time 2023-11-27 13:11:56.135570, yaw 11, pitch -8, roll 7
Time 2023-11-27 13:11:56.209073, yaw 11, pitch -12, roll 8
Time 2023-11-27 13:11:56.278071, yaw 13, pitch -15, roll 8
Time 2023-11-27 13:11:57.939938, yaw 7, pitch -29, roll 3
Time 2023-11-27 13:11:58.009030, yaw 6, pitch -25, roll 3
Time 2023-11-27 13:11:58.067119, yaw 4, pitch -20, roll 4
Time 2023-11-27 13:11:58.139961, yaw 5, pitch -15, roll 4
Time 2023-11-27 13:11:58.206924, yaw 4, pitch -13, roll 4
Time 2023-11-27 13:11:58.268821, yaw 5, pitch -12, roll 4
Time 2023-11-27 13:11:58.335917, yaw 4, pitch -13, roll 5
Time 2023-11-27 13:11:58.401979, yaw 5, pitch -13, roll 5
Time 2023-11-27 13:11:58.461279, yaw 6, pitch -11, roll 5
Time 2023-11-27 13:11:58.538104, yaw 7, pitch -12, roll 5
Time 2023-11-27 13:11:58.605540, yaw 7, pitch -12, roll 4
Time 2023-11-27 13:11:58.671173, yaw 6, pitch -11, roll 5
Time 2023-11-27 13:11:58.738399, yaw 6, pitch -12, roll 4
Time 2023-11-27 13:11:58.799885, yaw 6, pitch -12, roll 4
Time 2023-11-27 13:11:58.874669, yaw 7, pitch -13, roll 3
Time 2023-11-27 13:11:58.926563, yaw 6, pitch -12, roll 3
