Time 2023-12-17 18:47:50.826025, yaw 16, pitch -17, roll -5
Time 2023-12-17 18:47:50.927619, yaw 9, pitch -13, roll -5
Time 2023-12-17 18:47:51.021755, yaw 7, pitch -18, roll -6
Time 2023-12-17 18:47:51.121599, yaw 11, pitch -18, roll -7
Time 2023-12-17 18:47:51.228009, yaw 9, pitch -16, roll -7
Time 2023-12-17 18:47:51.322784, yaw 13, pitch -15, roll -6
Time 2023-12-17 18:47:51.440428, yaw 12, pitch -16, roll -5
Time 2023-12-17 18:47:51.525683, yaw 13, pitch -16, roll -7
Time 2023-12-17 18:47:51.624126, yaw 14, pitch -10, roll -6
Time 2023-12-17 18:48:29.373875, yaw 20, pitch -6, roll -1
Time 2023-12-17 18:48:29.667783, yaw 20, pitch -3, roll -2
Time 2023-12-17 18:48:29.769008, yaw 13, pitch -7, roll -2
Time 2023-12-17 18:48:29.868942, yaw 17, pitch -13, roll -3
Time 2023-12-17 18:48:29.979779, yaw 18, pitch -4, roll 0
Time 2023-12-17 18:48:30.061154, yaw 17, pitch -15, roll -4
Time 2023-12-17 18:48:30.165870, yaw 17, pitch -8, roll -2
Time 2023-12-17 18:48:30.274781, yaw 19, pitch -9, roll -3
Time 2023-12-17 18:48:32.799811, yaw 23, pitch 0, roll 0
Time 2023-12-17 18:48:33.066077, yaw 22, pitch -2, roll -1
Time 2023-12-17 18:48:33.167396, yaw 20, pitch -5, roll -2
Time 2023-12-17 18:48:33.260345, yaw 23, pitch -1, roll -2
Time 2023-12-17 18:48:33.365003, yaw 24, pitch 0, roll 0
Time 2023-12-17 18:48:33.467064, yaw 23, pitch -1, roll -1
Time 2023-12-17 18:48:33.566139, yaw 24, pitch -2, roll 0
Time 2023-12-17 18:48:33.664482, yaw 25, pitch 0, roll 0
Time 2023-12-17 18:48:33.762015, yaw 22, pitch 0, roll 0
Time 2023-12-17 18:48:33.864601, yaw 22, pitch -4, roll -1
Time 2023-12-17 18:48:33.961311, yaw 23, pitch 0, roll 0
Time 2023-12-17 18:48:34.066821, yaw 24, pitch 0, roll 0
Time 2023-12-17 18:48:34.266469, yaw 21, pitch -5, roll 1
Time 2023-12-17 18:48:34.464969, yaw 18, pitch -14, roll -3
Time 2023-12-17 18:48:34.664163, yaw 20, pitch -12, roll -4
Time 2023-12-17 18:48:34.863121, yaw 23, pitch -1, roll 0
Time 2023-12-17 18:53:29.110391, yaw 3, pitch -8, roll -2
Time 2023-12-17 18:53:29.374350, yaw 5, pitch -5, roll 0
Time 2023-12-17 18:53:29.467159, yaw 1, pitch -6, roll -2
Time 2023-12-17 18:53:29.563954, yaw 2, pitch -7, roll 0
Time 2023-12-17 18:53:29.662220, yaw 1, pitch -7, roll 0
Time 2023-12-17 18:53:29.792005, yaw 3, pitch -4, roll 0
Time 2023-12-17 18:53:29.896384, yaw 2, pitch -6, roll 1
Time 2023-12-17 18:53:29.996849, yaw 7, pitch -8, roll 0
Time 2023-12-17 18:53:30.096568, yaw 6, pitch -8, roll 0
Time 2023-12-17 18:53:30.196375, yaw 5, pitch -10, roll -1
Time 2023-12-17 18:53:30.297926, yaw 5, pitch -9, roll -1
Time 2023-12-17 18:53:30.388973, yaw 5, pitch -7, roll -2
Time 2023-12-17 18:53:30.493637, yaw 1, pitch -9, roll -1
Time 2023-12-17 18:53:30.595997, yaw 3, pitch -6, roll -1
Time 2023-12-17 18:53:30.696926, yaw 2, pitch -6, roll -2
Time 2023-12-17 18:53:30.796135, yaw 5, pitch -10, roll -3
Time 2023-12-17 18:53:30.896135, yaw 3, pitch -6, roll -1
Time 2023-12-17 18:53:30.997003, yaw 6, pitch -7, roll 0
Time 2023-12-17 18:53:31.097922, yaw 7, pitch -7, roll -1
Time 2023-12-17 18:53:31.196456, yaw 2, pitch -5, roll 0
Time 2023-12-17 18:53:31.296933, yaw 17, pitch -8, roll -2
Time 2023-12-17 18:53:31.395009, yaw 6, pitch -6, roll 0
Time 2023-12-17 18:53:31.492657, yaw 14, pitch -9, roll -1
Time 2023-12-17 18:53:31.590169, yaw 5, pitch -4, roll 0
Time 2023-12-17 18:53:31.793186, yaw 13, pitch -14, roll -2
Time 2023-12-17 18:53:31.896720, yaw 14, pitch -14, roll -2
Time 2023-12-17 18:53:31.992695, yaw 15, pitch -14, roll -2
Time 2023-12-17 18:53:32.094379, yaw 17, pitch -14, roll -3
Time 2023-12-17 18:53:32.190574, yaw 16, pitch -14, roll -3
Time 2023-12-17 18:53:32.293773, yaw 16, pitch -16, roll -3
Time 2023-12-17 18:53:32.393746, yaw 15, pitch -15, roll -2
Time 2023-12-17 18:53:32.494493, yaw 16, pitch -19, roll -5
Time 2023-12-17 18:53:32.595236, yaw 16, pitch -18, roll -5
Time 2023-12-17 18:53:32.695795, yaw 16, pitch -16, roll -3
Time 2023-12-17 18:53:32.796007, yaw 17, pitch -16, roll -3
Time 2023-12-17 18:53:32.894598, yaw 18, pitch -14, roll -3
Time 2023-12-17 18:53:32.998212, yaw 17, pitch -13, roll -3
Time 2023-12-17 18:53:33.096970, yaw 17, pitch -13, roll -3
Time 2023-12-17 18:53:33.193369, yaw 16, pitch -13, roll -2
Time 2023-12-17 18:53:33.291981, yaw 15, pitch -14, roll -4
Time 2023-12-17 18:53:33.388733, yaw 11, pitch -14, roll -3
Time 2023-12-17 18:53:33.488815, yaw 8, pitch -15, roll -4
Time 2023-12-17 18:53:33.594799, yaw 7, pitch -15, roll -5
Time 2023-12-17 18:53:33.693425, yaw 8, pitch -14, roll -4
Time 2023-12-17 18:53:33.792800, yaw 8, pitch -15, roll -3
Time 2023-12-17 18:53:33.887881, yaw 10, pitch -14, roll -4
Time 2023-12-17 18:53:33.989338, yaw 10, pitch -15, roll -4
Time 2023-12-17 18:53:34.094870, yaw 13, pitch -15, roll -4
Time 2023-12-17 18:53:34.195695, yaw 13, pitch -17, roll -4
Time 2023-12-17 18:53:34.292355, yaw 13, pitch -17, roll -6
Time 2023-12-17 18:53:34.392310, yaw 15, pitch -17, roll -5
Time 2023-12-17 18:53:34.499209, yaw 15, pitch -17, roll -5
Time 2023-12-17 18:53:34.596952, yaw 15, pitch -17, roll -6
Time 2023-12-17 18:53:34.693622, yaw 15, pitch -15, roll -6
Time 2023-12-17 18:53:34.798448, yaw 15, pitch -16, roll -6
Time 2023-12-17 18:53:34.971290, yaw 15, pitch -16, roll -5
Time 2023-12-17 18:53:35.056814, yaw 12, pitch -16, roll -5
Time 2023-12-17 18:53:35.160120, yaw 15, pitch -16, roll -5
Time 2023-12-17 18:53:35.260301, yaw 14, pitch -17, roll -4
Time 2023-12-17 18:53:35.359713, yaw 14, pitch -16, roll -4
Time 2023-12-17 18:53:35.458563, yaw 14, pitch -16, roll -5
Time 2023-12-17 18:53:35.560818, yaw 14, pitch -17, roll -4
Time 2023-12-17 18:53:35.660766, yaw 15, pitch -17, roll -4
Time 2023-12-17 18:53:35.759954, yaw 14, pitch -15, roll -4
Time 2023-12-17 18:54:50.043920, yaw 10, pitch -16, roll 0
Time 2023-12-17 18:54:50.299641, yaw 10, pitch -15, roll 0
Time 2023-12-17 18:54:50.397710, yaw 10, pitch -12, roll 1
Time 2023-12-17 18:54:50.498502, yaw 11, pitch -16, roll 0
Time 2023-12-17 18:54:50.595972, yaw 11, pitch -15, roll 0
Time 2023-12-17 18:54:50.728920, yaw 9, pitch -15, roll 1
Time 2023-12-17 18:54:50.828761, yaw 9, pitch -14, roll 1
Time 2023-12-17 18:54:50.927602, yaw 9, pitch -13, roll 1
Time 2023-12-17 18:54:51.028498, yaw 11, pitch -14, roll 0
Time 2023-12-17 18:54:51.127967, yaw 10, pitch -15, roll 0
Time 2023-12-17 18:54:51.226504, yaw 0, pitch -12, roll -1
Time 2023-12-17 18:54:51.327523, yaw 9, pitch -11, roll 0
Time 2023-12-17 18:54:51.428062, yaw 6, pitch -10, roll -1
Time 2023-12-17 18:54:51.527535, yaw 9, pitch -11, roll -1
Time 2023-12-17 18:54:51.627207, yaw 10, pitch -11, roll 0
Time 2023-12-17 18:54:51.728182, yaw 12, pitch -12, roll 0
